
Call:
msPGOcc(occ.formula = bbs_occobject_fulllandveg.occ.formula, det.formula = bbs_occobject.det.best.formula, 
    data = bbs_occobject, inits = ms.inits, priors = ms.priors, n.samples = 30000, n.omp.threads = 1, verbose = TRUE, 
    n.report = 6000, n.burn = 10000, n.thin = 50, n.chains = 3)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 58.0988

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                                Mean     SD      5%     50%     95%   Rhat  ESS
scale(tol_rel)-sp84          -0.6953 0.2640 -1.1343 -0.7024 -0.2625 1.0024 1200
scale(tol_rel)-sp85           0.8285 0.2177  0.4870  0.8314  1.1989 1.0047 1200
scale(tol_rel)-sp86           0.5568 0.3381 -0.0103  0.5645  1.1237 1.0107 1200
scale(tol_rel)-sp87           0.9854 0.3131  0.4978  0.9765  1.5258 1.0151 1200
scale(tol_rel)-sp88          -0.3435 0.3824 -0.9709 -0.3408  0.2845 1.0029 1200
scale(tol_rel)-sp89           0.8156 0.4682  0.1190  0.7706  1.6464 1.0014 1200
scale(tol_rel)-sp90           0.2171 0.3160 -0.3356  0.2299  0.7169 0.9993 1200
scale(tol_rel)-sp91           0.2186 0.5558 -0.6939  0.2261  1.1097 1.0000 1188
scale(tol_rel)-sp92           0.6693 0.2389  0.2764  0.6595  1.0548 1.0019 1200
scale(tol_rel)-sp93          -0.3197 0.3909 -0.9367 -0.3348  0.3217 1.0043 1200
scale(tol_rel)-sp94           0.0229 0.5103 -0.8107  0.0490  0.8396 1.0126 1200
scale(tol_rel)-sp95           1.3495 0.3307  0.8044  1.3439  1.9173 1.0032 1200
scale(tol_rel)-sp96          -0.2545 0.5019 -1.0837 -0.2473  0.5703 1.0005 1074
scale(tol_rel)-sp97          -0.2458 0.5249 -1.1687 -0.2245  0.5450 1.0090 1566
scale(tol_rel)-sp98           0.5314 0.4749 -0.2231  0.5291  1.3113 1.0020 1243
scale(tol_rel)-sp99          -0.2777 0.2520 -0.6870 -0.2645  0.1214 1.0033 1200
scale(tol_rel)-sp100          0.1892 0.4517 -0.5565  0.1810  0.9290 1.0049 1200
scale(tol_rel)-sp101          1.1183 0.2440  0.7521  1.1076  1.5395 1.0021 1200
scale(tol_rel)-sp102         -0.3094 0.3655 -0.9209 -0.3033  0.2930 1.0004 1200
scale(tol_rel)-sp103          0.1170 0.4114 -0.5454  0.1085  0.7727 1.0041 1200
scale(svp)-sp1                0.4608 0.2443  0.0739  0.4480  0.8749 0.9999 1200
scale(svp)-sp2               -0.0116 0.3173 -0.5392 -0.0087  0.5244 1.0049 1200
scale(svp)-sp3               -0.0604 0.2147 -0.4068 -0.0634  0.3035 1.0037 1200
scale(svp)-sp4                0.1039 0.2780 -0.3508  0.1034  0.5651 1.0059 1200
scale(svp)-sp5               -0.1661 0.3154 -0.7028 -0.1517  0.3242 1.0042 1321
scale(svp)-sp6               -0.1453 0.2848 -0.6533 -0.1369  0.2936 1.0010 1200
scale(svp)-sp7               -0.3609 0.2310 -0.7377 -0.3620  0.0266 1.0003 1200
scale(svp)-sp8               -0.1281 0.3208 -0.6693 -0.1154  0.3707 1.0062 1200
scale(svp)-sp9                0.0258 0.3082 -0.4502  0.0247  0.5394 1.0056 1200
scale(svp)-sp10              -0.1928 0.3157 -0.7008 -0.1935  0.3079 1.0032 1200
scale(svp)-sp11              -0.0731 0.3190 -0.5816 -0.0662  0.4544 1.0104 1081
scale(svp)-sp12              -0.3785 0.2302 -0.7470 -0.3713 -0.0029 1.0032 1251
scale(svp)-sp13              -0.1611 0.2705 -0.6159 -0.1572  0.2647 1.0091  925
scale(svp)-sp14               0.0538 0.3119 -0.4314  0.0496  0.5578 0.9999 1200
