"fid","plot_id","geom","ldi_250ft","ldi_500ft","ldi_1k","ldi_1k_2005","ldi_2k","ldi_3k"
413,Large-004_1,POINT (2265175.2021810776 698901.9256352634),0.030730976037159394,0.3942316983302873,0.5360167748065399,0.2614108457499697,0.32144316589034583,0.2121400523568703
414,Large-005_1,POINT (2218164.714860366 615101.586133835),0.25264659942203244,0.29673691995987744,0.31479336583721534,0.1495991317857189,0.6883638401709303,1.2489038312691059
415,Large-006_1,POINT (2138429.174885125 631998.1462517866),0.0003931076493877,0.23243541787808839,1.169660520507195,0.6150683857149527,3.2320547335451613,4.620721378323407
416,Large-007_1,POINT (2148846.533044614 647625.7622780809),0.38840246721337185,0.5075277993783701,0.38680461869877014,0.18537202007743944,0.6033318181169848,2.100010174541385
417,Large-008_1,POINT (2218380.5444012554 599672.6918685117),0.0,0.15286023670398066,1.5329762703092888,0.842374680535293,0.46539562616941077,0.23856189406753608
418,Large-009_1,POINT (2254262.945262145 639171.8891108723),0.4046697143155225,0.43617092385360823,0.5404002481401539,0.2636844140409616,0.8080047946178516,1.0053334510480296
419,Large-010_1,POINT (2148672.3757667365 616117.4641283535),1.2294756651380314,0.5373549081377442,0.31295603302985925,0.1486941411859965,0.44225647217945036,0.7094579101338282
420,Large-011_1,POINT (2149228.2198036127 644283.7002659009),0.0,0.03222977816771071,0.8838817271808165,0.44916539029558583,2.128269922867215,4.775037481015955
421,Large-012_1,POINT (2222578.1159150833 592979.64309347),0.4691210753480113,2.757772664880984,3.14726386970261,2.1175178874485985,1.4618295791141465,0.8973476749506635
422,Large-013_1,POINT (2259060.0660939063 695743.8057301573),0.25700051601930785,3.0172892963038778,2.244761592603436,1.3467927687659138,1.0463871365513622,3.5336832133763667
423,Large-014_1,POINT (2153077.9422770166 616573.686137361),0.0,0.07605124532386574,0.4133546105512399,0.19871158899158117,0.9023883597933195,3.3947150257158083
424,Large-015_1,POINT (2264678.539150049 692842.9776844372),0.06405849668507758,0.17100357590981666,0.2406303879193769,0.1133721302336299,0.2406849690668865,0.21423358374125828
425,Large-016_1,POINT (2169269.8759895638 595093.5322511797),0.0,0.0,0.009947732709888297,0.004563419083147736,0.2689788377733098,0.4488787438685801
426,Large-017_1,POINT (2197408.060767563 644339.2583290089),0.0,0.003316379949957386,1.6178052789488948,0.8982421677203816,5.6199190228053455,6.518294516881821
427,Large-018_1,POINT (2136171.8675010377 631125.957445867),0.6084652852819489,0.6874065219048585,0.6438896878274607,0.3180331656511975,0.9487129660567968,0.9164754304935216
428,Large-019_1,POINT (2153392.366047952 614714.2065145778),0.0,0.0969348838467609,0.3147109240927201,0.14955851634663653,3.0748225410622396,5.316488836436221
