Process,Species,Covariate,Mean,SD,2.5CI,50CI,97.5CI,Rhat,ESS,5.0CI,95.0CI,Migratory,Sig
Occupancy,IndigoBunting,tol_rel,0.3765,0.2106,-0.0073,0.3668,0.8026,1.0051,1126,0.051,0.7311,NE,NO
Occupancy,Killdeer,tol_rel,0.7528,0.3536,0.1175,0.7381,1.5137,1.0042,1200,0.2015,1.3474,M,YES
Occupancy,LouisianaWaterthrush,tol_rel,-0.0751,0.3531,-0.7426,-0.0709,0.611,1.0041,1200,-0.6482,0.501,NE,NO
Occupancy,Mallard,tol_rel,0.1938,0.4228,-0.6138,0.1756,1.0424,1.0005,1008,-0.4873,0.8779,M,NO
Occupancy,MourningDove,tol_rel,0.9647,0.3389,0.3349,0.9414,1.6842,1.0026,1081,0.4347,1.5198,M,YES
Occupancy,NorthernCardinal,tol_rel,0.4414,0.3516,-0.2417,0.4312,1.1762,1.0061,1200,-0.1279,1.0347,R,NO
Occupancy,NorthernFlicker,tol_rel,0.278,0.4838,-0.639,0.2508,1.3194,1.0088,1200,-0.4667,1.1075,M,NO
Occupancy,NorthernParula,tol_rel,-0.2899,0.5337,-1.3744,-0.2888,0.7395,1.0098,1200,-1.2023,0.5626,M,NO
Occupancy,NorthernRough-wingedSwallow,tol_rel,0.5697,0.3802,-0.0956,0.5517,1.4002,1.0014,1200,0.0031,1.2491,M,NO
Occupancy,OrchardOriole,tol_rel,0.995,0.3273,0.4139,0.9761,1.6756,1.0082,1200,0.4956,1.5615,NE,YES
Occupancy,Ovenbird,tol_rel,-0.1736,0.3451,-0.8392,-0.1761,0.4643,1.0015,1327,-0.738,0.3719,NE,NO
Occupancy,PileatedWoodpecker,tol_rel,-0.2246,0.4444,-1.0145,-0.2492,0.7505,1.0108,1200,-0.8767,0.5647,R,NO
Occupancy,PurpleFinch,tol_rel,0.5913,0.5095,-0.3599,0.5913,1.6102,1.0079,1200,-0.2166,1.4008,M,NO
Occupancy,PurpleMartin,tol_rel,0.1103,0.5899,-1.0359,0.1084,1.3139,1.0177,657,-0.8463,1.0976,NE,NO
Occupancy,Rose-breastedGrosbeak,tol_rel,0.1737,0.3002,-0.3701,0.1577,0.8031,1.002,1312,-0.2872,0.6804,NE,NO
Occupancy,Ring-billedGull,tol_rel,0.263,0.3367,-0.3649,0.2614,0.9057,1.0024,1425,-0.2993,0.8267,R,NO
Occupancy,Red-breastedNuthatch,tol_rel,0.1318,0.5268,-0.9594,0.1235,1.1438,1.001,1200,-0.7384,0.9946,M,NO
Occupancy,Red-belliedWoodpecker,tol_rel,-0.6218,0.387,-1.3384,-0.6376,0.2258,1.0047,1330,-1.2337,0.0583,R,NO
Occupancy,Red-eyedVireo,tol_rel,-1.0215,0.2796,-1.5891,-1.0223,-0.4775,1.0138,1200,-1.4693,-0.5763,NE,YES
Occupancy,Red-headedWoodpecker,tol_rel,-0.326,0.4512,-1.2448,-0.3179,0.5301,1.0006,1200,-1.0926,0.3589,R,NO
Occupancy,RockPigeon,tol_rel,-0.0222,0.5085,-0.9591,-0.0201,1.0303,1.0006,1219,-0.8223,0.8074,R,NO
Occupancy,Red-shoulderedHawk,tol_rel,-0.0181,0.529,-1.0253,-0.0472,1.0933,1.0107,1299,-0.8535,0.9228,R,NO
Occupancy,Red-tailedHawk,tol_rel,0.3683,0.41,-0.3798,0.3504,1.2605,1.0035,1200,-0.2622,1.0576,R,NO
Occupancy,Ruby-throatedHummingbird,tol_rel,0.2975,0.5197,-0.6989,0.2817,1.3295,1.0009,910,-0.545,1.1259,NE,NO
Occupancy,Red-wingedBlackbird,tol_rel,0.7366,0.2176,0.3237,0.7371,1.1623,1.0031,1200,0.3927,1.0956,M,YES
Occupancy,SavannahSparrow,tol_rel,0.1466,0.5268,-0.8281,0.1406,1.153,1.0059,1200,-0.6988,1.0162,M,NO
Occupancy,ScarletTanager,tol_rel,-1.0621,0.2875,-1.6177,-1.0583,-0.5001,1.0144,1200,-1.5407,-0.5923,NE,YES
Occupancy,SongSparrow,tol_rel,0.7664,0.2267,0.351,0.747,1.2424,1.0181,1200,0.4152,1.1563,R,YES
Occupancy,SwampSparrow,tol_rel,0.3745,0.3479,-0.3294,0.3761,1.0958,1.0015,1200,-0.199,0.9525,M,NO
Occupancy,TreeSwallow,tol_rel,0.8699,0.331,0.2338,0.8647,1.5067,1.0002,1200,0.3262,1.436,M,YES
Occupancy,TuftedTitmouse,tol_rel,-0.5437,0.3649,-1.2491,-0.5455,0.1863,1.0014,1345,-1.1205,0.0496,R,NO
