Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,Veery,tol_rel,0.2171,0.316,-0.3356,0.2299,0.7169,0.9993,1200,NE,NO
Occupancy,VirginiaRail,tol_rel,0.2186,0.5558,-0.6939,0.2261,1.1097,1,1188,M,NO
Occupancy,WarblingVireo,tol_rel,0.6693,0.2389,0.2764,0.6595,1.0548,1.0019,1200,NE,YES
Occupancy,White-breastedNuthatch,tol_rel,-0.3197,0.3909,-0.9367,-0.3348,0.3217,1.0043,1200,R,NO
Occupancy,White-eyedVireo,tol_rel,0.0229,0.5103,-0.8107,0.049,0.8396,1.0126,1200,NE,NO
Occupancy,WillowFlycatcher,tol_rel,1.3495,0.3307,0.8044,1.3439,1.9173,1.0032,1200,NE,YES
Occupancy,WildTurkey,tol_rel,-0.2545,0.5019,-1.0837,-0.2473,0.5703,1.0005,1074,R,NO
Occupancy,WinterWren,tol_rel,-0.2458,0.5249,-1.1687,-0.2245,0.545,1.009,1566,M,NO
Occupancy,WoodDuck,tol_rel,0.5314,0.4749,-0.2231,0.5291,1.3113,1.002,1243,M,NO
Occupancy,WoodThrush,tol_rel,-0.2777,0.252,-0.687,-0.2645,0.1214,1.0033,1200,NE,NO
Occupancy,Yellow-billedCuckoo,tol_rel,0.1892,0.4517,-0.5565,0.181,0.929,1.0049,1200,NE,NO
Occupancy,YellowWarbler,tol_rel,1.1183,0.244,0.7521,1.1076,1.5395,1.0021,1200,NE,YES
Occupancy,Yellow-throatedVireo,tol_rel,-0.3094,0.3655,-0.9209,-0.3033,0.293,1.0004,1200,NE,NO
Occupancy,Yellow-throatedWarbler,tol_rel,0.117,0.4114,-0.5454,0.1085,0.7727,1.0041,1200,NE,NO
Occupancy,AcadianFlycatcher,svp,0.4608,0.2443,0.0739,0.448,0.8749,0.9999,1200,NE,YES
Occupancy,AlderFlycatcher,svp,-0.0116,0.3173,-0.5392,-0.0087,0.5244,1.0049,1200,NE,NO
Occupancy,AmericanCrow,svp,-0.0604,0.2147,-0.4068,-0.0634,0.3035,1.0037,1200,R,NO
Occupancy,AmericanGoldfinch,svp,0.1039,0.278,-0.3508,0.1034,0.5651,1.0059,1200,M,NO
Occupancy,AmericanKestrel,svp,-0.1661,0.3154,-0.7028,-0.1517,0.3242,1.0042,1321,R,NO
Occupancy,AmericanRedstart,svp,-0.1453,0.2848,-0.6533,-0.1369,0.2936,1.001,1200,NE,NO
Occupancy,AmericanRobin,svp,-0.3609,0.231,-0.7377,-0.362,0.0266,1.0003,1200,M,NO
Occupancy,AmericanWoodcock,svp,-0.1281,0.3208,-0.6693,-0.1154,0.3707,1.0062,1200,M,NO
Occupancy,BarredOwl,svp,0.0258,0.3082,-0.4502,0.0247,0.5394,1.0056,1200,R,NO
Occupancy,BaldEagle,svp,-0.1928,0.3157,-0.7008,-0.1935,0.3079,1.0032,1200,R,NO
Occupancy,BankSwallow,svp,-0.0731,0.319,-0.5816,-0.0662,0.4544,1.0104,1081,NE,NO
Occupancy,BaltimoreOriole,svp,-0.3785,0.2302,-0.747,-0.3713,-0.0029,1.0032,1251,NE,YES
Occupancy,BarnSwallow,svp,-0.1611,0.2705,-0.6159,-0.1572,0.2647,1.0091,925,NE,NO
Occupancy,Black-cappedChickadee,svp,0.0538,0.3119,-0.4314,0.0496,0.5578,0.9999,1200,R,NO
Occupancy,BeltedKingfisher,svp,-0.1047,0.271,-0.5753,-0.0949,0.3229,1.0131,1200,R,NO
Occupancy,Blue-grayGnatcatcher,svp,0.118,0.2533,-0.264,0.102,0.554,1.0003,1200,M,NO
Occupancy,Brown-headedCowbird,svp,0.1316,0.2569,-0.2768,0.1176,0.5578,1.0095,1072,M,NO
Occupancy,Blue-headedVireo,svp,-0.0485,0.3308,-0.6095,-0.0419,0.4658,0.9997,1440,NE,NO
