Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory
Occupancy,Red-shouldered Hawk,tol_rel,0.11,0.5002,-0.671,0.0727,0.9697,1.0116,1200,R
Occupancy,Red-tailed Hawk,tol_rel,0.4424,0.3577,-0.1109,0.4306,1.02,1.0073,1200,R
Occupancy,Ruby-throated Hummingbird,tol_rel,0.3378,0.4955,-0.4686,0.3193,1.1943,1.0028,1200,NE
Occupancy,Red-winged Blackbird,tol_rel,0.7758,0.2091,0.4469,0.7716,1.132,1.0043,1200,M
Occupancy,Savannah Sparrow,tol_rel,0.217,0.5121,-0.6243,0.2234,1.0349,0.9999,1200,M
Occupancy,Scarlet Tanager,tol_rel,-0.6953,0.264,-1.1343,-0.7024,-0.2625,1.0024,1200,NE
Occupancy,Song Sparrow,tol_rel,0.8285,0.2177,0.487,0.8314,1.1989,1.0047,1200,R
Occupancy,Swamp Sparrow,tol_rel,0.5568,0.3381,-0.0103,0.5645,1.1237,1.0107,1200,M
Occupancy,Tree Swallow,tol_rel,0.9854,0.3131,0.4978,0.9765,1.5258,1.0151,1200,M
Occupancy,Tufted Titmouse,tol_rel,-0.3435,0.3824,-0.9709,-0.3408,0.2845,1.0029,1200,R
Occupancy,Turkey Vulture,tol_rel,0.8156,0.4682,0.119,0.7706,1.6464,1.0014,1200,M
Occupancy,Veery,tol_rel,0.2171,0.316,-0.3356,0.2299,0.7169,0.9993,1200,NE
Occupancy,Virginia Rail,tol_rel,0.2186,0.5558,-0.6939,0.2261,1.1097,1,1188,M
Occupancy,Warbling Vireo,tol_rel,0.6693,0.2389,0.2764,0.6595,1.0548,1.0019,1200,NE
Occupancy,White-breasted Nuthatch,tol_rel,-0.3197,0.3909,-0.9367,-0.3348,0.3217,1.0043,1200,R
Occupancy,White-eyed Vireo,tol_rel,0.0229,0.5103,-0.8107,0.049,0.8396,1.0126,1200,NE
Occupancy,Willow Flycatcher,tol_rel,1.3495,0.3307,0.8044,1.3439,1.9173,1.0032,1200,NE
Occupancy,Wild Turkey,tol_rel,-0.2545,0.5019,-1.0837,-0.2473,0.5703,1.0005,1074,R
Occupancy,Winter Wren,tol_rel,-0.2458,0.5249,-1.1687,-0.2245,0.545,1.009,1566,M
Occupancy,Wood Duck,tol_rel,0.5314,0.4749,-0.2231,0.5291,1.3113,1.002,1243,M
Occupancy,Wood Thrush,tol_rel,-0.2777,0.252,-0.687,-0.2645,0.1214,1.0033,1200,NE
Occupancy,Yellow-billed Cuckoo,tol_rel,0.1892,0.4517,-0.5565,0.181,0.929,1.0049,1200,NE
Occupancy,Yellow Warbler,tol_rel,1.1183,0.244,0.7521,1.1076,1.5395,1.0021,1200,NE
Occupancy,Yellow-throated Vireo,tol_rel,-0.3094,0.3655,-0.9209,-0.3033,0.293,1.0004,1200,NE
Occupancy,Yellow-throated Warbler,tol_rel,0.117,0.4114,-0.5454,0.1085,0.7727,1.0041,1200,NE
Occupancy,Acadian Flycatcher,svp,0.4608,0.2443,0.0739,0.448,0.8749,0.9999,1200,NE
Occupancy,Alder Flycatcher,svp,-0.0116,0.3173,-0.5392,-0.0087,0.5244,1.0049,1200,NE
Occupancy,American Crow,svp,-0.0604,0.2147,-0.4068,-0.0634,0.3035,1.0037,1200,R
Occupancy,American Goldfinch,svp,0.1039,0.278,-0.3508,0.1034,0.5651,1.0059,1200,M
Occupancy,American Kestrel,svp,-0.1661,0.3154,-0.7028,-0.1517,0.3242,1.0042,1321,R
Occupancy,American Redstart,svp,-0.1453,0.2848,-0.6533,-0.1369,0.2936,1.001,1200,NE
Occupancy,American Robin,svp,-0.3609,0.231,-0.7377,-0.362,0.0266,1.0003,1200,M
Occupancy,American Woodcock,svp,-0.1281,0.3208,-0.6693,-0.1154,0.3707,1.0062,1200,M
Occupancy,Barred Owl,svp,0.0258,0.3082,-0.4502,0.0247,0.5394,1.0056,1200,R
Occupancy,Bald Eagle,svp,-0.1928,0.3157,-0.7008,-0.1935,0.3079,1.0032,1200,R
Occupancy,Bank Swallow,svp,-0.0731,0.319,-0.5816,-0.0662,0.4544,1.0104,1081,NE
Occupancy,Baltimore Oriole,svp,-0.3785,0.2302,-0.747,-0.3713,-0.0029,1.0032,1251,NE
Occupancy,Barn Swallow,svp,-0.1611,0.2705,-0.6159,-0.1572,0.2647,1.0091,925,NE
Occupancy,Black-capped Chickadee,svp,0.0538,0.3119,-0.4314,0.0496,0.5578,0.9999,1200,R
Occupancy,Belted Kingfisher,svp,-0.1047,0.271,-0.5753,-0.0949,0.3229,1.0131,1200,R
Occupancy,Blue-gray Gnatcatcher,svp,0.118,0.2533,-0.264,0.102,0.554,1.0003,1200,M
Occupancy,Brown-headed Cowbird,svp,0.1316,0.2569,-0.2768,0.1176,0.5578,1.0095,1072,M
Occupancy,Blue-headed Vireo,svp,-0.0485,0.3308,-0.6095,-0.0419,0.4658,0.9997,1440,NE
Occupancy,Blue Jay,svp,-0.2114,0.2443,-0.6034,-0.2087,0.173,1.0002,1200,M
Occupancy,Bobolink,svp,-0.0627,0.3356,-0.6027,-0.0733,0.5118,1.0079,1325,NE
Occupancy,Brown Creeper,svp,0.427,0.2559,0.04,0.4058,0.8705,1.0012,987,M
Occupancy,Brown Thrasher,svp,-0.169,0.3007,-0.7,-0.1478,0.3038,1.006,1200,M
Occupancy,Black-throated Green Warbler,svp,-0.0855,0.3235,-0.6239,-0.0791,0.4348,1.0043,1200,NE
Occupancy,Broad-winged Hawk,svp,0.1303,0.3068,-0.3736,0.1418,0.6187,1.0003,1200,NE
Occupancy,Blue-winged Warbler,svp,-0.0859,0.2942,-0.5723,-0.0764,0.3821,1.0097,1200,NE
Occupancy,Canada Goose,svp,-0.12,0.2941,-0.6283,-0.1212,0.3628,1.0022,1152,R
Occupancy,Carolina Wren,svp,0.1893,0.2365,-0.1968,0.1806,0.5922,1.0208,1200,R
Occupancy,Cedar Waxwing,svp,-0.2969,0.2335,-0.6852,-0.301,0.0787,1.0145,1200,M
Occupancy,Cerulean Warbler,svp,-0.0617,0.3311,-0.5982,-0.0572,0.4941,1.0012,1200,NE
Occupancy,Chipping Sparrow,svp,0.1605,0.2332,-0.2156,0.1601,0.5413,1.0018,1200,M
Occupancy,Chimney Swift,svp,-0.2538,0.2427,-0.6448,-0.2551,0.1416,1.0125,1200,NE
Occupancy,Cliff Swallow,svp,-0.1024,0.3316,-0.6351,-0.1048,0.4338,1.0015,1200,NE
Occupancy,Common Grackle,svp,-0.0572,0.2491,-0.4726,-0.0547,0.3534,1.0081,1081,M
Occupancy,Cooper's Hawk,svp,0.0499,0.2761,-0.4068,0.0531,0.4969,1.0012,1200,M
Occupancy,Common Yellowthroat,svp,-0.0187,0.2022,-0.3517,-0.0236,0.3117,1.0175,1200,NE
Occupancy,Dark-eyed Junco,svp,0.4908,0.2587,0.0727,0.4802,0.9369,1.0085,1200,R
