Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,Wood Duck,monocots,-0.3231,0.4487,-1.068,-0.331,0.4027,1.0025,1200,M,NO
Occupancy,Wood Thrush,monocots,0.3524,0.3818,-0.2282,0.3361,1.0275,1.0002,1513,NE,NO
Occupancy,Yellow-billed Cuckoo,monocots,0.0213,0.4224,-0.6872,0.0242,0.7122,1.0014,1200,NE,NO
Occupancy,Yellow Warbler,monocots,-0.9128,0.2929,-1.4059,-0.907,-0.4354,1.0017,1200,NE,YES
Occupancy,Yellow-throated Vireo,monocots,0.2373,0.3496,-0.3428,0.2316,0.8248,1.0034,1200,NE,NO
Occupancy,Yellow-throated Warbler,monocots,-0.0578,0.3784,-0.6566,-0.0639,0.5678,1.0032,1200,NE,NO
Occupancy,Acadian Flycatcher,perc_open,-0.4722,0.3163,-1.0447,-0.4479,-0.0005,0.9992,1002,NE,YES
Occupancy,Alder Flycatcher,perc_open,0.5463,0.3674,-0.0629,0.5334,1.1587,1.0012,1101,NE,NO
Occupancy,American Crow,perc_open,-0.0037,0.3497,-0.5185,-0.0356,0.6328,1.0115,1200,R,NO
Occupancy,American Goldfinch,perc_open,0.2365,0.3773,-0.3366,0.2036,0.8526,1.0011,1200,M,NO
Occupancy,American Kestrel,perc_open,0.114,0.4084,-0.5695,0.1475,0.7292,1.0001,1514,R,NO
Occupancy,American Redstart,perc_open,-0.0223,0.3693,-0.6442,-0.0253,0.5827,1.0084,1200,NE,NO
Occupancy,American Robin,perc_open,0.2959,0.4001,-0.3287,0.2757,0.97,1.0032,1200,M,NO
Occupancy,American Woodcock,perc_open,0.4733,0.3439,-0.0733,0.4716,1.042,1.0002,1245,M,NO
Occupancy,Barred Owl,perc_open,0.4136,0.3262,-0.1329,0.412,0.968,1.0006,1007,R,NO
Occupancy,Bald Eagle,perc_open,0.1277,0.4077,-0.5282,0.122,0.7825,1.0032,1200,R,NO
Occupancy,Bank Swallow,perc_open,0.614,0.3352,0.0903,0.6012,1.1505,1.0143,1200,NE,YES
Occupancy,Baltimore Oriole,perc_open,0.4772,0.2923,0.055,0.4519,0.9922,1.0001,1200,NE,YES
Occupancy,Barn Swallow,perc_open,0.4487,0.3582,-0.1058,0.4252,1.064,1.0001,1200,NE,NO
Occupancy,Black-capped Chickadee,perc_open,0.0237,0.3367,-0.4792,-0.0043,0.6029,1.0012,1073,R,NO
Occupancy,Belted Kingfisher,perc_open,0.2627,0.3421,-0.2726,0.2451,0.8452,1.0091,1200,R,NO
Occupancy,Blue-gray Gnatcatcher,perc_open,-0.0831,0.2873,-0.5333,-0.1007,0.4219,1.0118,1056,M,NO
Occupancy,Brown-headed Cowbird,perc_open,0.46,0.3558,-0.0743,0.4452,1.0885,1.0012,1115,M,NO
Occupancy,Blue-headed Vireo,perc_open,0.0927,0.4127,-0.5791,0.0958,0.7265,1.0052,1200,NE,NO
Occupancy,Blue Jay,perc_open,0.0328,0.3341,-0.4655,0.0006,0.6319,1.0053,1200,M,NO
Occupancy,Bobolink,perc_open,0.1628,0.4084,-0.5089,0.1575,0.8109,1.0117,1304,NE,NO
Occupancy,Brown Creeper,perc_open,-0.1063,0.3457,-0.6735,-0.1024,0.4421,1.0099,1200,M,NO
Occupancy,Brown Thrasher,perc_open,0.7611,0.3149,0.2862,0.7456,1.2944,1.0008,1200,M,YES
Occupancy,Black-throated Green Warbler,perc_open,0.1542,0.4107,-0.508,0.1631,0.8231,0.9993,1200,NE,NO
Occupancy,Broad-winged Hawk,perc_open,0.0688,0.3998,-0.5593,0.0743,0.6952,1.0267,1022,NE,NO
