Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,Killdeer,tol_rel,0.5675,0.3085,0.0678,0.5629,1.0815,1.0006,1066,M,YES
Occupancy,Louisiana Waterthrush,tol_rel,0.1997,0.3337,-0.3628,0.2083,0.7485,1.0085,1355,NE,NO
Occupancy,Mallard,tol_rel,0.4294,0.4013,-0.2189,0.4197,1.0663,1.0115,1200,M,NO
Occupancy,Mourning Dove,tol_rel,1.2241,0.4115,0.6281,1.1729,1.968,1,1200,M,YES
Occupancy,Northern Cardinal,tol_rel,0.3905,0.4819,-0.384,0.3909,1.2196,1.0046,1200,R,NO
Occupancy,Northern Flicker,tol_rel,0.3642,0.5134,-0.398,0.3225,1.2951,1.0011,1293,M,NO
Occupancy,Northern Parula,tol_rel,-0.2155,0.614,-1.2698,-0.1967,0.7439,1.0001,1099,M,NO
Occupancy,Northern Rough-winged Swallow,tol_rel,0.7346,0.3997,0.1184,0.7076,1.4406,1.0027,1200,M,YES
Occupancy,Orchard Oriole,tol_rel,1.1674,0.3309,0.6782,1.1398,1.7497,1.0113,1200,NE,YES
Occupancy,Ovenbird,tol_rel,-0.012,0.3391,-0.5865,-0.0029,0.5146,1.0006,1200,NE,NO
Occupancy,Pileated Woodpecker,tol_rel,-0.2833,0.4628,-0.991,-0.3141,0.4921,1.0009,1092,R,NO
Occupancy,Purple Finch,tol_rel,1.1317,0.5232,0.3104,1.0975,2.0317,1.0163,1046,M,YES
Occupancy,Purple Martin,tol_rel,-0.0131,0.5666,-0.9613,0.0011,0.9061,1.0006,1200,NE,NO
Occupancy,Rose-breasted Grosbeak,tol_rel,0.5182,0.2836,0.0864,0.494,1.0023,1.0033,1200,NE,YES
Occupancy,Ring-billed Gull,tol_rel,0.3296,0.3548,-0.2446,0.3361,0.8967,0.9998,1200,R,NO
Occupancy,Red-breasted Nuthatch,tol_rel,0.2459,0.5745,-0.6872,0.252,1.1687,1.0025,1095,M,NO
Occupancy,Red-bellied Woodpecker,tol_rel,-0.15,0.5224,-0.9607,-0.1794,0.7665,1.0017,1200,R,NO
Occupancy,Red-eyed Vireo,tol_rel,-1.1733,0.3313,-1.7322,-1.1645,-0.6329,1.0005,1200,NE,YES
Occupancy,Red-headed Woodpecker,tol_rel,-0.256,0.4271,-0.9783,-0.2377,0.4059,1.0037,1200,R,NO
Occupancy,Rock Pigeon,tol_rel,0.0907,0.5732,-0.8322,0.0906,1.0004,0.9998,1018,R,NO
Occupancy,Red-shouldered Hawk,tol_rel,-0.1919,0.5392,-1.0235,-0.2283,0.7959,1.0265,1081,R,NO
Occupancy,Red-tailed Hawk,tol_rel,0.2868,0.4459,-0.4184,0.2668,1.0065,1.0184,1086,R,NO
Occupancy,Ruby-throated Hummingbird,tol_rel,0.1151,0.5444,-0.7045,0.0827,1.09,1.004,1078,NE,NO
Occupancy,Red-winged Blackbird,tol_rel,0.6944,0.2022,0.3688,0.6885,1.0347,1.0133,1200,M,YES
Occupancy,Savannah Sparrow,tol_rel,0.1926,0.5347,-0.7233,0.1975,1.0367,1.0059,1445,M,NO
Occupancy,Scarlet Tanager,tol_rel,-1.0372,0.2725,-1.4898,-1.0229,-0.617,1.0031,1200,NE,YES
Occupancy,Song Sparrow,tol_rel,1.0021,0.2521,0.6238,0.991,1.4289,1.0197,1200,R,YES
Occupancy,Swamp Sparrow,tol_rel,0.5404,0.3452,-0.0131,0.5511,1.1011,1.0156,1200,M,NO
Occupancy,Tree Swallow,tol_rel,1.0789,0.3413,0.5572,1.0544,1.6839,1.0105,1306,M,YES
Occupancy,Tufted Titmouse,tol_rel,-0.4717,0.4452,-1.1886,-0.4822,0.2679,1.0003,1200,R,NO
Occupancy,Turkey Vulture,tol_rel,0.835,0.5473,0.0004,0.8156,1.7751,1.0037,1263,M,YES
Occupancy,Veery,tol_rel,-0.0533,0.3395,-0.6089,-0.0597,0.5091,1.0078,1200,NE,NO
Occupancy,Virginia Rail,tol_rel,0.593,0.5795,-0.347,0.567,1.5648,1.0042,1200,M,NO
Occupancy,Warbling Vireo,tol_rel,0.9187,0.2229,0.5622,0.9215,1.2865,1.01,1200,NE,YES
Occupancy,White-breasted Nuthatch,tol_rel,-0.6706,0.3025,-1.1953,-0.6688,-0.1853,0.9997,1200,R,YES
Occupancy,White-eyed Vireo,tol_rel,-0.0125,0.5556,-0.9424,0.004,0.8503,1.0017,1488,NE,NO
Occupancy,Willow Flycatcher,tol_rel,1.1379,0.311,0.6547,1.1296,1.6556,1.0001,1200,NE,YES
Occupancy,Wild Turkey,tol_rel,0.0456,0.6705,-1.0207,0.0196,1.2003,1.0059,1084,R,NO
Occupancy,Winter Wren,tol_rel,-0.4261,0.5671,-1.357,-0.4056,0.4514,1.0091,1200,M,NO
Occupancy,Wood Duck,tol_rel,0.5777,0.5117,-0.2514,0.5772,1.4019,1.0029,1200,M,NO
Occupancy,Wood Thrush,tol_rel,-0.4531,0.2536,-0.8678,-0.4561,-0.0317,1.0114,1200,NE,YES
Occupancy,Yellow-billed Cuckoo,tol_rel,0.0235,0.5497,-0.785,-0.0059,0.9566,1.0078,1074,NE,NO
Occupancy,Yellow Warbler,tol_rel,1.2551,0.2545,0.8504,1.2477,1.7074,0.999,1088,NE,YES
Occupancy,Yellow-throated Vireo,tol_rel,-0.4826,0.5241,-1.2552,-0.4962,0.4398,1.0283,705,NE,NO
Occupancy,Yellow-throated Warbler,tol_rel,0.0189,0.3966,-0.6638,0.0361,0.6525,1.0015,1058,NE,NO
Occupancy,Acadian Flycatcher,svp,0.3092,0.2331,-0.0664,0.3055,0.7028,1.0113,1200,NE,NO
Occupancy,Alder Flycatcher,svp,-0.0594,0.3151,-0.5611,-0.0621,0.4771,1.0026,1200,NE,NO
Occupancy,American Crow,svp,0.0953,0.2497,-0.3049,0.0824,0.5116,1.0108,1309,R,NO
Occupancy,American Goldfinch,svp,0.0883,0.3097,-0.3958,0.0722,0.6337,1.0005,1078,M,NO
Occupancy,American Kestrel,svp,-0.2132,0.317,-0.7379,-0.2122,0.3168,1.0036,1052,R,NO
